u,v,key,geohash,mesafe_km,highway,name,length
958703142,2382892012,0,sxk90v,0.15502696098400168,living_street,Bilginler Sokağı,58.449161614869425
958703154,958702891,0,sxk90v,0.16057563646473097,tertiary,Demirkapı Caddesi,87.20241209859391
958703154,958703157,0,sxk90v,0.07038995767472808,living_street,Bilginler Sokağı,68.90481600509838
958703154,958703323,0,sxk90v,0.0692509109821286,tertiary,"['Karabal Caddesi', 'Demirkapı Caddesi']",188.79685844798036
958703157,958703159,0,sxk90v,0.10018520581147282,living_street,Bilginler Sokağı,47.48443864649991
958703157,958703154,0,sxk90v,0.08300500898217217,living_street,Bilginler Sokağı,68.90481600509838
958703157,958702893,0,sxk90v,0.11418609645980962,residential,Akatlar Sokağı,95.84111437281362
958703157,958703325,0,sxk90v,0.03410177034953959,residential,Akatlar Sokağı,154.31830739225663
958703159,958703142,0,sxk90v,0.14212545621225875,living_street,Bilginler Sokağı,49.46711597374789
958703159,958703157,0,sxk90v,0.07038995767472808,living_street,Bilginler Sokağı,47.48443864649991
958703159,958703176,0,sxk90v,0.08431008059681223,residential,Hüdaverdi Sokağı,135.97435287452382
958703163,2382892012,0,sxk90v,0.19844064087716484,secondary,Yüce Tarla Caddesi,7.335087639771717
958703176,958703325,0,sxk90v,0.0927090374290032,living_street,Leventler Sokağı,66.7180635478175
958703176,958703182,0,sxk90v,0.18405385915104952,residential,Hüdaverdi Sokağı,106.53800481499437
958703176,958703159,0,sxk90v,0.07980540052299745,residential,Hüdaverdi Sokağı,135.97435287452382
958703182,958703215,0,sxk90v,0.20559387530025838,living_street,Çamlık Çeşme Sokağı,65.20638300233395
958703182,958703137,0,sxk90v,0.24107389659201414,living_street,Çamlık Çeşme Sokağı,57.66694285506416
958703182,958703176,0,sxk90v,0.18405385915104952,residential,Hüdaverdi Sokağı,106.53800481499437
958703186,958703182,0,sxk90v,0.21341581905324059,residential,Hüdaverdi Sokağı,120.8860976078222
958703200,958703121,0,sxk90y,0.212327554912077,residential,Hüdaverdi Sokağı,71.37715508902559
958703200,958405531,0,sxk90y,0.29333138981789886,secondary_link,,71.65432423643
958703203,958405743,0,sxk90y,0.23415706574134476,secondary,Dr. Tevfik Sağlam,24.20277328466422
958703203,2365290898,0,sxk90y,0.24713384163290336,residential,,23.06558117309106
958703211,958703215,0,sxk90v,0.20559387530025838,living_street,Çamlık Çeşme Sokağı,73.24291099053337
958703211,958703323,0,sxk90v,0.14221287242995417,tertiary,Karabal Caddesi,111.43585240472795
958703215,958703211,0,sxk90v,0.21735481465498166,living_street,Çamlık Çeşme Sokağı,73.24291099053337
958703215,958703182,0,sxk90v,0.21341581905324059,living_street,Çamlık Çeşme Sokağı,65.20638300233395
958703215,958703325,0,sxk90v,0.10828093539411052,residential,Akatlar Sokağı,113.00535402507148
958703215,958703226,0,sxk90v,0.25222480839526834,residential,Akatlar Sokağı,116.82010534485755
958703219,958703137,0,sxk90v,0.24107389659201414,living_street,Çamlık Çeşme Sokağı,62.21724746205296
958703219,958702831,0,sxk90v,0.256698217214463,secondary,Yüce Tarla Caddesi,63.398240037809856
958703223,958703219,0,sxk90v,0.2818593545142894,living_street,Tunaboylu Sokağı,211.05349915154383
958703226,958702970,0,sxk90y,0.2008884822391515,residential,Akatlar Sokağı,129.0965630543093
958703226,958703215,0,sxk90v,0.25222480839526834,residential,Akatlar Sokağı,116.82010534485755
958703228,958702973,0,sxk90y,0.20715288914163127,tertiary,Karabal Caddesi,132.82541794943594
958703283,13891532709,0,sxk90u,0.15092141896097386,tertiary,,11.086336036145621
958703283,958703288,0,sxk90u,0.17428766263393417,tertiary,Zuhuratbaba Caddesi,46.240191813171904
958703288,959578678,0,sxk90u,0.1450232088521356,secondary,Ak Mescit Sokağı,99.63414870936107
958703288,959578673,0,sxk90u,0.21039918266486182,tertiary,Zuhuratbaba Caddesi,78.05350057107634
958703288,958703283,0,sxk90u,0.17428766263393417,tertiary,Zuhuratbaba Caddesi,46.240191813171904
958703323,958703211,0,sxk90v,0.18616245895180777,tertiary,Karabal Caddesi,111.43585240472797
958703323,958703154,0,sxk90v,0.06210503349720926,tertiary,"['Karabal Caddesi', 'Demirkapı Caddesi']",188.79685844798036
958703325,958703323,0,sxk90v,0.12215939260636374,living_street,Leventler Sokağı,78.25872451502588
958703325,958703157,0,sxk90v,0.019677771755183898,residential,Akatlar Sokağı,154.3183073922566
958703325,958703215,0,sxk90v,0.10828093539411052,residential,Akatlar Sokağı,113.00535402507148
958703326,958702852,0,sxk90v,0.2075884588851398,secondary,Yüce Tarla Caddesi,38.80761960293516
