u,v,key,name,highway,length
958405488,958405490,0,,secondary_link,8.065599558544402
958405488,958405889,0,İncirli Caddesi,secondary,103.14609334207562
958405490,958405736,0,İncirli Caddesi,secondary,98.42746500577907
958405490,958405334,0,Turanlı Sokağı,residential,49.52594361557014
958405511,958405605,0,Aydın Yuva Sokağı,residential,102.79235799842068
958405511,958405482,0,Pelinli Sokağı,residential,98.11854187885687
958405511,958405513,0,Yavuklular Sokağı,residential,110.87511091442254
958405513,958405480,0,Yavuklular Sokağı,residential,22.904122829475153
958405513,958405113,0,Yavuklular Sokağı,residential,29.096187760017422
958405531,958702955,0,Yüce Tarla Caddesi,secondary,107.04903834584019
958405561,13716437556,0,Kireç Ocağı Yolu Kavşağı,tertiary,19.75455728538361
958405566,958405561,0,Kireç Ocağı Yolu Kavşağı,tertiary,12.888928820469149
958405574,958405691,0,Olgunlar Sokağı,residential,53.759740280000756
958405574,958405566,0,Kireç Ocağı Yolu Kavşağı,tertiary,12.750613482166832
958405579,958405574,0,Kireç Ocağı Yolu Kavşağı,tertiary,13.954870041218856
958405592,958405579,0,Kireç Ocağı Yolu Kavşağı,tertiary,28.32905199260905
958405592,958405666,0,İsmail Erez Bulvarı,tertiary,55.80801383889474
958405595,958405592,0,Kireç Ocağı Yolu Kavşağı,tertiary,4.871906632227599
958405605,2245070590,0,Aydın Yuva Sokağı,residential,55.77085964135514
958405605,958405607,0,Olgunlar Sokağı,tertiary,65.28989248936226
958405607,958405711,0,Baharlı Bahçe Sokağı,residential,103.32205492160364
958405607,958405561,0,Olgunlar Sokağı,tertiary,56.17708211149548
958405623,2365310144,0,Çağlar Sokağı,residential,101.89589825591901
958405623,968158288,0,Mine Sokağı,residential,73.42637886033339
958405649,958405670,0,,tertiary_link,10.703951590288744
958405649,958405579,0,İsmail Erez Bulvarı,tertiary,93.74256578935585
958405666,2365310146,0,Şirin Sokağı,residential,132.03126534327322
958405666,958405670,0,İsmail Erez Bulvarı,tertiary,37.63698110565918
958405670,958404936,0,İsmail Erez Bulvarı,tertiary,69.47807910706116
958405691,958405708,0,Limon Çiçeği Sokağı,residential,103.2722385524615
958405691,10705338489,0,Olgunlar Sokağı,residential,61.352384650950924
958405708,958406328,0,Limon Çiçeği Sokağı,residential,71.52959842909223
958405708,958405710,0,Pelinli Sokağı,residential,60.662608366948305
958405710,958405566,0,Bahçesaray Sokağı,residential,109.97790388939565
958405710,958405711,0,Pelinli Sokağı,residential,66.04273209146734
958405711,958405511,0,Pelinli Sokağı,residential,68.34701709234501
958405711,958406132,0,Baharlı Bahçe Sokağı,residential,70.66734565742364
958405736,958405820,0,İncirli Caddesi,secondary,6.185014938078732
