osmid,lat,lon
966218642,40.9786513,28.8834805
966218644,40.9789158,28.8849856
966218647,40.979291,28.8832337
966218648,40.9815348,28.882319
966218653,40.9787944,28.8852782
966218689,40.9782444,28.8849736
966218694,40.9787677,28.8849702
966218716,40.9818287,28.8804931
966218728,40.9787593,28.8801943
966218737,40.9810594,28.8783351
967089806,40.9853943,28.8783135
967089808,40.9854149,28.8783374
967089832,40.9855214,28.8783057
967089837,40.9855257,28.8781995
967089844,40.9851211,28.8805529
967089866,40.9865938,28.8836819
967089877,40.9867479,28.8844355
967089887,40.9856292,28.8810568
967089889,40.9864003,28.8809129
967089918,40.9887413,28.8846262
967089925,40.9881731,28.8840681
967089934,40.9869423,28.881656
967089977,40.9897553,28.8816401
967090084,40.9893841,28.8853204
967090103,40.9886246,28.8849678
967090113,40.9889751,28.885362
967090114,40.9893648,28.8857992
967090126,40.9882483,28.8844663
967090130,40.9884517,28.8848428
967133929,40.9810769,28.8903106
967134029,40.9762909,28.8626477
967134063,40.9768933,28.8655886
967134077,40.9770093,28.8659724
967134089,40.9769651,28.8658086
967134105,40.976721,28.8660198
967134196,40.9771885,28.8677312
967134295,40.9772073,28.86869
967134311,40.9772411,28.8673632
967134312,40.977205,28.8672598
967134323,40.9776739,28.8689591
967134344,40.9763184,28.8723505
967134347,40.9763863,28.8714007
967134352,40.977099,28.8690948
967134356,40.977342,28.8688977
967134364,40.9771233,28.8685263
967134374,40.9763472,28.871377
967134380,40.976287,28.871812
967134470,40.9771015,28.8664324
967134529,40.9701599,28.8729288
967135035,40.9740776,28.8735654
967135055,40.9736474,28.8737541
967135255,40.9713507,28.8728751
967135259,40.9723147,28.8741197
967135261,40.972514,28.8742409
967135264,40.9726437,28.874224
967135266,40.9732786,28.8739266
968158041,40.9943614,28.8887214
968158046,40.9952067,28.8880853
968158053,40.9934596,28.8923205
968158061,40.9939768,28.8907999
968158074,41.0006194,28.8853898
968158113,40.9924943,28.8789074
968158117,40.9914474,28.8795872
968158125,40.9902884,28.8794963
968158127,40.9917783,28.8805781
968158131,40.9911323,28.8785465
968158134,40.9912684,28.8780491
968158137,40.9905401,28.878216
968158139,40.995083,28.8878087
968158143,40.9942295,28.8886415
968158144,40.9941089,28.88913
968158146,40.9938061,28.8880084
968158167,40.9931497,28.8769529
968158173,40.9937266,28.8760987
968158182,40.9924314,28.8792821
968158193,40.9929321,28.8807063
968158203,40.9921266,28.8792169
968158205,40.9922137,28.8794786
968158211,40.9948129,28.8778318
968158221,40.9918399,28.8819833
968158222,40.9914544,28.8830291
968158233,40.9920069,28.8781495
968158241,40.9938339,28.8775191
968158244,40.9931464,28.8785816
968158250,40.9934573,28.88073
968158261,40.9936519,28.882045
968158267,40.9937572,28.8825385
968158268,40.9947613,28.8818411
968158270,40.9943781,28.8822096
968158276,40.993935,28.8795226
968158282,40.99508,28.8790836
968158288,40.9938641,28.8774027
968158295,40.9933766,28.8872699
968158302,40.993643,28.8868198
968158304,40.9921595,28.8866127
968158308,40.9940986,28.8862588
968158310,40.9948484,28.8851189
968158311,40.993738,28.8846147
968158312,40.99273,28.8840521
968158314,40.9913518,28.8815597
968158318,40.9920256,28.8821582
968158321,40.9929393,28.8828282
968158325,40.9939901,28.8836828
968158328,40.9948045,28.8840398
968158330,40.9923999,28.8808262
968158344,40.9906874,28.8848407
968158348,40.9913117,28.8833536
968158354,40.9921683,28.8841589
968158355,40.9919379,28.8843501
968158356,40.9917884,28.8844483
968158358,40.9914362,28.8850569
968158359,40.9922688,28.8849731
968158362,40.9921399,28.8851659
968158364,40.9924869,28.8852206
968158370,40.9929636,28.8847805
968158378,40.9920517,28.8873429
968158406,40.9905168,28.8865936
968158407,40.9907771,28.8853816
968158411,40.9911075,28.8849132
968158415,40.9914928,28.8857118
968158416,40.9911059,28.8868845
968158419,40.9913706,28.8870149
968158421,40.9916274,28.8836865
968158424,40.9908579,28.8830139
968158426,40.9918196,28.8832244
968158428,40.9917407,28.8835577
968158434,40.9954519,28.8855945
968158435,40.9948327,28.8855962
968158439,40.9935952,28.8851241
968158441,40.9948327,28.8855007
968158446,40.9948138,28.8845558
968158448,40.9938776,28.884148
968158449,40.9928233,28.8836643
968158451,40.9909599,28.8827591
968158455,40.9897024,28.8845935
968158456,40.9897089,28.8847249
968158621,40.9954677,28.8864345
968158622,40.9946656,28.8864643
968158637,40.99428,28.8826652
968158642,40.992915,28.8825814
968158646,40.9944915,28.882737
968158659,40.9894375,28.8846735
968158670,40.9915664,28.8808305
968158679,40.9895063,28.8849491
968158688,40.9926104,28.8845877
968158689,40.9925848,28.8845636
968158702,40.9958094,28.8879219
968158709,40.995879,28.8874976
968158715,40.9953097,28.8877082
968158716,40.9947294,28.8834421
968158722,40.9953922,28.8806729
968158733,40.9937225,28.8807683
968158736,40.9933107,28.8807377
968158748,40.9903042,28.8805775
968158769,40.9948672,28.8848948
968158802,40.9954231,28.8848293
968158804,40.9955167,28.8848254
968158813,40.9965465,28.8840873
968158835,40.9955845,28.8809719
968158911,40.995612,28.887123
968158962,40.9954457,28.8867393
968172095,40.9899096,28.8771254
968172096,40.9900329,28.87651
968172099,40.9884127,28.8816456
968172101,40.987904,28.8806991
968172103,40.9878862,28.8802805
968172107,40.9891092,28.8812164
968172111,40.9882121,28.880262
968172533,40.987959,28.8775222
968172539,40.9899612,28.8786553
968172545,40.989445,28.8788267
